Time [s],Servo [rad],Table angle [rad]
0.0,-0.03490555555555556,-0.03181656668588406
0.008,-0.03490555555555556,-0.01977098626884244
0.016,-0.03490555555555556,-0.028805171581623323
0.024,-0.03490555555555556,-0.01977098626884244
0.032,-0.03490555555555556,-0.02579377647736303
0.04,-0.03490555555555556,-0.01776338953266876
0.048,-0.03490555555555556,-0.033824163422057296
0.056,-0.03490555555555556,-0.02579377647736303
0.064,-0.03490555555555556,-0.029808969949710384
0.072,-0.03490555555555556,-0.02378617974118935
0.08,-0.03490555555555556,-0.028805171581623323
0.088,-0.03490555555555556,-0.02478997810927641
0.096,-0.03490555555555556,-0.02478997810927641
0.104,-0.03490555555555556,-0.02679757484545009
0.112,-0.03490555555555556,-0.027801373213536706
0.12,-0.03490555555555556,-0.0167595911645817
0.128,-0.03490555555555556,-0.03181656668588406
0.136,-0.03490555555555556,-0.02378617974118935
0.145,-0.03490555555555556,-0.030812768317797
0.153,-0.03490555555555556,-0.030812768317797
0.161,-0.03490555555555556,-0.030812768317797
0.169,-0.03490555555555556,-0.022782381373102734
0.177,-0.03490555555555556,-0.033824163422057296
0.185,-0.03490555555555556,-0.02378617974118935
0.193,-0.03490555555555556,-0.027801373213536706
0.201,-0.03490555555555556,-0.027801373213536706
0.21,-0.03490555555555556,-0.030812768317797
0.218,-0.03490555555555556,-0.036835558526318035
0.226,-0.03490555555555556,-0.03282036505397068
0.234,-0.03490555555555556,-0.02679757484545009
0.242,-0.03490555555555556,-0.02679757484545009
0.25,-0.03490555555555556,-0.015755792796495083
0.258,-0.03490555555555556,-0.03181656668588406
0.266,-0.03490555555555556,-0.027801373213536706
0.274,-0.03490555555555556,-0.027801373213536706
0.282,-0.03490555555555556,-0.022782381373102734
0.291,-0.03490555555555556,-0.02579377647736303
0.3,-0.03490555555555556,-0.020774784636929056
0.308,-0.03490555555555556,-0.02679757484545009
0.316,-0.03490555555555556,-0.027801373213536706
0.324,-0.03490555555555556,-0.029808969949710384
0.332,-0.03490555555555556,-0.028805171581623323
0.34,-0.03490555555555556,-0.01977098626884244
0.348,-0.03490555555555556,-0.028805171581623323
0.356,-0.03490555555555556,-0.02579377647736303
0.364,-0.03490555555555556,-0.029808969949710384
0.372,-0.03490555555555556,-0.015755792796495083
0.38,-0.03490555555555556,-0.02478997810927641
0.388,-0.03490555555555556,-0.029808969949710384
0.396,-0.03490555555555556,-0.033824163422057296
0.404,-0.03490555555555556,-0.02378617974118935
0.412,-0.03490555555555556,-0.029808969949710384
0.42,-0.03490555555555556,-0.02478997810927641
0.428,-0.03490555555555556,-0.03482796179014436
0.436,-0.03490555555555556,-0.020774784636929056
0.444,-0.03490555555555556,-0.03783935689440465
0.452,-0.03490555555555556,-0.020774784636929056
0.46,-0.03490555555555556,-0.03282036505397068
0.468,-0.03490555555555556,-0.01776338953266876
0.476,-0.03490555555555556,-0.028805171581623323
0.484,-0.03490555555555556,-0.02378617974118935
0.492,-0.03490555555555556,-0.02679757484545009
0.5,-0.03490555555555556,-0.02579377647736303
0.508,-0.03490555555555556,-0.02579377647736303
0.516,-0.03490555555555556,-0.03181656668588406
0.524,-0.03490555555555556,-0.035831760158230974
0.532,-0.03490555555555556,-0.02579377647736303
0.54,-0.03490555555555556,-0.03282036505397068
0.548,-0.03490555555555556,-0.02579377647736303
0.556,-0.03490555555555556,-0.042858348734838625
0.564,-0.03490555555555556,-0.02378617974118935
0.572,-0.03490555555555556,-0.029808969949710384
0.58,-0.03490555555555556,-0.021778583005015673
0.588,-0.03490555555555556,-0.03282036505397068
0.596,-0.03490555555555556,-0.036835558526318035
0.604,-0.03490555555555556,-0.03482796179014436
0.612,-0.03490555555555556,-0.01977098626884244
0.62,-0.03490555555555556,-0.03783935689440465
0.628,-0.03490555555555556,-0.01977098626884244
0.636,-0.03490555555555556,-0.027801373213536706
0.644,-0.03490555555555556,-0.021778583005015673
0.652,-0.03490555555555556,-0.029808969949710384
0.66,-0.03490555555555556,-0.02679757484545009
0.668,-0.03490555555555556,-0.029808969949710384
0.676,-0.03490555555555556,-0.02579377647736303
0.684,-0.03490555555555556,-0.02679757484545009
0.692,-0.03490555555555556,-0.028805171581623323
0.7,-0.03490555555555556,-0.02679757484545009
0.708,-0.03490555555555556,-0.0167595911645817
0.716,-0.03490555555555556,-0.02478997810927641
0.724,-0.03490555555555556,-0.02679757484545009
0.732,-0.03490555555555556,-0.027801373213536706
0.74,-0.03490555555555556,-0.028805171581623323
0.748,-0.03490555555555556,-0.021778583005015673
0.756,-0.03490555555555556,-0.018767187900755378
0.764,-0.03490555555555556,-0.027801373213536706
0.772,-0.03490555555555556,-0.020774784636929056
0.78,-0.03490555555555556,-0.021778583005015673
